epoch,train_total,train_contrast,train_relation,val_total,val_contrast,val_relation,lr,overfitting
1,880968.875000,2.439584,1761932.937500,916535.875000,1.848044,1833068.000000,0.001000,NO
2,676752.343750,2.031327,1353500.625000,781247.937500,1.517020,1562492.875000,0.001000,NO
3,744047.906250,2.000959,1488091.812500,1010465.375000,1.431389,2020927.875000,0.000999,NO
4,913577.843750,2.737221,1827150.187500,838970.250000,1.237955,1677938.000000,0.000999,NO
5,547503.796875,1.895748,1095003.812500,309030.781250,1.303738,618058.937500,0.000998,NO
6,218560.914062,1.915495,437118.000000,338215.625000,1.377756,676428.500000,0.000998,NO
7,296617.609375,2.473749,593230.281250,246112.593750,1.586119,492222.000000,0.000997,NO
8,279433.359375,2.292984,558862.125000,356865.156250,1.332233,713727.625000,0.000996,NO
9,265735.125000,2.229332,531465.812500,295142.843750,1.491641,590282.687500,0.000995,NO
10,229396.851562,2.627416,458788.453125,300028.093750,1.563774,600053.062500,0.000994,YES
11,242034.328125,2.031761,484064.593750,311827.687500,1.645929,623652.062500,0.000993,YES
12,281401.250000,2.082272,562798.312500,261433.140625,1.694229,522862.906250,0.000991,YES
13,217897.164062,2.006369,435790.312500,290364.125000,1.672221,580724.875000,0.000990,YES
14,249385.046875,1.999724,498766.093750,204182.453125,1.769638,408361.375000,0.000988,YES
15,165414.894531,1.998677,330825.796875,110592.281250,1.777722,221181.000000,0.000986,YES
16,105752.085938,1.740352,211500.687500,195826.078125,3.024485,391646.093750,0.000984,YES
17,167960.851562,2.338919,335917.015625,107034.187500,2.963048,214062.453125,0.000982,YES
18,119301.136719,2.187794,238597.890625,163437.671875,1.087440,326873.156250,0.000980,YES
19,170795.226562,2.189387,341586.078125,155005.296875,1.398251,310007.812500,0.000978,YES
20,177688.921875,2.490085,355372.859375,193346.296875,1.519276,386689.562500,0.000976,YES
21,191229.203125,2.141683,382454.125000,250639.125000,1.908455,501274.437500,0.000973,YES
22,170792.863281,2.120121,341581.484375,159940.171875,1.927735,319876.500000,0.000971,YES
23,152326.257812,2.081574,304648.359375,202938.375000,1.702490,405873.343750,0.000968,YES
24,182365.414062,2.193162,364726.437500,217680.656250,1.676294,435357.968750,0.000965,YES
25,194633.593750,2.232023,389262.718750,201244.015625,1.535728,402484.968750,0.000962,YES
26,191129.500000,2.413023,382254.171875,235823.515625,1.674040,471643.687500,0.000959,YES
27,214204.203125,2.064409,428404.281250,185642.421875,1.580227,371281.687500,0.000956,YES
28,150162.789062,2.231972,300321.109375,113705.914062,1.207509,227409.406250,0.000953,YES
29,136814.101562,1.962029,273624.281250,174942.859375,1.289775,349883.125000,0.000950,YES
30,127740.578125,2.170958,255476.804688,132924.265625,1.496487,265845.531250,0.000946,YES
31,122702.859375,2.158910,245401.398438,92967.234375,0.973413,185932.515625,0.000942,YES
32,111643.058594,1.828131,223282.460938,120469.335938,2.567324,240933.531250,0.000939,YES
33,92526.025391,1.679771,185048.683594,187081.453125,1.583038,374159.750000,0.000935,YES
34,192764.984375,1.598770,385526.765625,199732.812500,1.053718,399463.531250,0.000931,YES
35,207367.265625,1.628495,414731.265625,167494.687500,1.000925,334987.375000,0.000927,YES
36,125204.679688,2.165999,250405.023438,214532.031250,0.894897,429062.281250,0.000923,YES
37,187650.031250,1.835271,375296.390625,258263.218750,2.439436,516521.562500,0.000919,YES
38,249311.679688,1.569651,498620.234375,230195.265625,0.919059,460388.687500,0.000914,YES
39,193650.117188,2.147888,387295.937500,176244.390625,1.680017,352485.406250,0.000910,YES
40,135611.308594,1.979670,271218.664062,164695.062500,1.183663,329387.750000,0.000905,YES
41,168505.640625,1.837510,337007.593750,153162.343750,1.781579,306321.125000,0.000901,YES
42,174213.148438,1.912050,348422.476562,215410.781250,1.856853,430817.843750,0.000896,YES
43,240162.015625,1.804246,480320.421875,122024.492188,1.127963,244046.734375,0.000891,YES
44,127194.273438,1.809245,254384.929688,95770.890625,1.272105,191539.234375,0.000886,NO
45,65552.662109,2.378811,131100.566406,98736.351562,2.015142,197468.671875,0.000881,YES
46,86135.496094,2.117776,172266.750000,76313.093750,1.617088,152622.953125,0.000876,NO
47,72008.345703,2.096003,144012.503906,90361.984375,0.712740,180722.546875,0.000871,NO
48,90255.824219,2.159903,180507.335938,108813.750000,2.047651,217623.406250,0.000866,NO
49,102471.917969,2.074098,204939.687500,73970.765625,1.668125,147938.187500,0.000860,NO
50,72900.863281,1.883336,145797.957031,108313.531250,1.366450,216624.328125,0.000855,NO
51,107480.257812,2.122522,214956.273438,70917.460938,0.949362,141833.015625,0.000849,NO
52,58825.007812,1.649659,117646.714844,68087.101562,1.945033,136170.312500,0.000844,NO
53,47851.968750,1.978536,95699.980469,52462.546875,0.999324,104923.093750,0.000838,YES
54,69638.429688,1.868890,139273.117188,116282.070312,1.031679,232562.078125,0.000832,YES
55,106223.644531,1.806400,212443.679688,103547.187500,1.218319,207091.937500,0.000826,YES
56,92796.121094,1.905942,185588.429688,64939.269531,0.821962,129876.898438,0.000821,YES
57,70976.261719,1.941784,141948.640625,126544.656250,1.301553,253086.703125,0.000814,YES
58,119385.984375,2.020245,238767.929688,123471.445312,1.265239,246940.359375,0.000808,YES
59,103938.230469,1.727681,207873.000000,66606.390625,0.589513,133211.609375,0.000802,YES
60,59721.148438,1.781051,119438.734375,97087.242188,0.882697,194172.718750,0.000796,YES
61,74058.738281,1.761332,148113.960938,82960.812500,0.906130,165919.812500,0.000790,YES
62,75657.695312,1.863346,151311.664062,126661.226562,1.605362,253319.250000,0.000783,YES
63,118146.148438,1.751308,236288.796875,51926.437500,2.021939,103848.828125,0.000777,YES
64,60262.494141,1.458418,120522.066406,118054.789062,1.044568,236107.484375,0.000770,YES
65,100353.937500,1.583188,200704.710938,75153.296875,1.292648,150304.015625,0.000764,YES
66,84739.408203,2.219791,169474.375000,118128.093750,0.645021,236254.890625,0.000757,YES
67,107857.351562,1.356421,215711.992188,135864.421875,1.173231,271726.500000,0.000750,YES
68,101506.667969,2.001617,203009.335938,115588.812500,0.777409,231176.062500,0.000743,YES
69,74653.765625,1.794771,149303.941406,60082.984375,1.232062,120163.507812,0.000737,YES
70,69521.445312,1.841293,139039.210938,88439.804688,1.724399,176876.156250,0.000730,YES
71,77891.535156,1.602553,155779.859375,34519.589844,0.945541,69037.289062,0.000723,YES
72,35851.652344,1.802442,71699.699219,51426.511719,0.722049,102851.578125,0.000716,YES
73,33152.108398,1.665275,66300.888672,54425.886719,1.338268,108849.093750,0.000709,YES
74,57803.035156,1.728797,115602.613281,53108.292969,1.276764,106214.031250,0.000702,YES
75,42798.832031,2.027002,85593.609375,56080.207031,1.091084,112158.234375,0.000694,YES
76,42012.212891,1.662271,84021.097656,57169.394531,2.791335,114333.203125,0.000687,YES
77,57376.210938,2.210354,114748.000000,66362.507812,1.417479,132722.187500,0.000680,YES
78,66534.228516,1.644490,133065.164062,93080.453125,1.132211,186158.640625,0.000673,YES
79,75250.136719,2.152552,150495.968750,79968.335938,1.584304,159933.500000,0.000665,YES
80,54732.265625,2.005573,109460.519531,55887.113281,1.045934,111772.132812,0.000658,YES
81,47196.861328,1.647748,94390.429688,47753.863281,0.990466,95505.742188,0.000651,YES
82,49444.394531,1.522340,98885.746094,56248.757812,1.186637,112495.140625,0.000643,YES
83,58731.888672,1.521150,117460.734375,77251.804688,1.376851,154500.859375,0.000636,YES
84,63263.597656,1.001810,126525.191406,94197.109375,0.586480,188393.046875,0.000628,YES
85,83186.449219,1.917624,166369.062500,71624.968750,0.673098,143248.593750,0.000621,YES
86,56929.117188,1.505443,113855.226562,69606.062500,0.969184,139210.187500,0.000613,YES
87,54466.792969,2.184524,108929.218750,68143.539062,1.741671,136283.593750,0.000605,YES
88,57212.853516,1.856693,114421.992188,43037.589844,0.539512,86074.101562,0.000598,YES
89,44428.593750,1.643025,88853.902344,69613.304688,0.895100,139224.812500,0.000590,YES
90,67016.980469,1.476675,134031.007812,50028.773438,0.987511,100055.570312,0.000582,YES
91,54666.757812,1.447069,109330.621094,57632.039062,1.152840,115261.773438,0.000575,YES
92,50639.484375,1.670926,101275.628906,68015.023438,0.990036,136028.062500,0.000567,YES
93,65408.214844,1.581361,130813.269531,59272.859375,1.686299,118542.343750,0.000559,YES
94,56448.093750,1.715273,112892.757812,52319.742188,1.423563,104636.640625,0.000552,YES
95,43889.906250,1.929117,87775.953125,36886.675781,1.462190,73770.429688,0.000544,YES
96,54717.295898,1.729062,109431.130859,90241.421875,1.420037,180480.000000,0.000536,YES
97,73307.675781,2.261031,146610.832031,83170.226562,1.200603,166338.046875,0.000528,YES
98,67057.187500,1.773605,134110.828125,74875.859375,1.122464,149749.468750,0.000521,YES
99,91941.062500,1.678296,183878.765625,113795.523438,1.860984,227587.328125,0.000513,YES
100,85181.296875,1.721438,170359.148438,55522.281250,1.431059,111041.703125,0.000505,YES
101,75847.220703,1.464228,151691.511719,100860.484375,0.511837,201719.937500,0.000497,YES
